,wind_code,delist_date
202,839680.BJ,1899-12-30
203,871642.BJ,1899-12-30
204,830964.BJ,1899-12-30
205,832225.BJ,1899-12-30
206,831010.BJ,1899-12-30
207,831768.BJ,1899-12-30
208,833509.BJ,1899-12-30
209,430090.BJ,1899-12-30
210,831305.BJ,1899-12-30
211,832885.BJ,1899-12-30
212,835305.BJ,1899-12-30
213,837242.BJ,1899-12-30
214,830946.BJ,1899-12-30
215,831856.BJ,1899-12-30
216,301098.SZ,1899-12-30
217,430510.BJ,1899-12-30
218,832566.BJ,1899-12-30
219,830839.BJ,1899-12-30
220,839167.BJ,1899-12-30
221,301118.SZ,1899-12-30
222,838924.BJ,1899-12-30
223,871396.BJ,1899-12-30
224,833427.BJ,1899-12-30
225,834682.BJ,1899-12-30
226,831726.BJ,1899-12-30
227,834599.BJ,1899-12-30
228,838030.BJ,1899-12-30
229,835508.BJ,1899-12-30
230,872925.BJ,1899-12-30
231,834475.BJ,1899-12-30
232,835640.BJ,1899-12-30
233,836149.BJ,1899-12-30
234,600856.SH,1899-12-30
235,833523.BJ,1899-12-30
236,836826.BJ,1899-12-30
237,836892.BJ,1899-12-30
238,430489.BJ,1899-12-30
239,834415.BJ,1899-12-30
240,835670.BJ,1899-12-30
241,833819.BJ,1899-12-30
242,835185.BJ,1899-12-30
243,831961.BJ,1899-12-30
244,833873.BJ,1899-12-30
245,833874.BJ,1899-12-30
246,831370.BJ,1899-12-30
247,831832.BJ,1899-12-30
248,833994.BJ,1899-12-30
249,836675.BJ,1899-12-30
250,837344.BJ,1899-12-30
251,603398.SH,1899-12-30
252,832089.BJ,1899-12-30
253,831039.BJ,1899-12-30
254,831445.BJ,1899-12-30
255,832000.BJ,1899-12-30
256,836433.BJ,1899-12-30
257,002128.SZ,1899-12-30
258,835184.BJ,1899-12-30
259,871981.BJ,1899-12-30
260,833454.BJ,1899-12-30
261,688232.SH,1899-12-30
262,001267.SZ,1899-12-30
263,600279.SH,1899-12-30
264,301188.SZ,1899-12-30
265,603048.SH,1899-12-30
266,688182.SH,1899-12-30
267,301128.SZ,1899-12-30
268,301149.SZ,1899-12-30
269,301180.SZ,1899-12-30
270,688212.SH,1899-12-30
271,688105.SH,1899-12-30
272,688107.SH,1899-12-30
273,301178.SZ,1899-12-30
274,301098.SZ,1899-12-30
275,688107.SH,1899-12-30
276,600279.SH,1899-12-30
277,301188.SZ,1899-12-30
278,603213.SH,1899-12-30
279,002420.SZ,1899-12-30
280,002201.SZ,1899-12-30
281,301128.SZ,1899-12-30
282,301149.SZ,1899-12-30
283,688162.SH,1899-12-30
284,301169.SZ,1899-12-30
285,301092.SZ,1899-12-30
286,301129.SZ,1899-12-30
287,301093.SZ,1899-12-30
288,300475.SZ,1899-12-30
289,301091.SZ,1899-12-30
290,301169.SZ,1899-12-30
291,301088.SZ,1899-12-30
292,301129.SZ,1899-12-30
293,301092.SZ,1899-12-30
294,301082.SZ,1899-12-30
295,301089.SZ,1899-12-30
296,301093.SZ,1899-12-30
297,001288.SZ,1899-12-30
298,301090.SZ,1899-12-30
299,301091.SZ,1899-12-30
300,301087.SZ,1899-12-30
301,600662.SH,1899-12-30
302,301088.SZ,1899-12-30
303,688739.SH,1899-12-30
304,688280.SH,1899-12-30
305,605138.SH,1899-12-30
306,301089.SZ,1899-12-30
307,688257.SH,1899-12-30
308,301082.SZ,1899-12-30
309,688280.SH,1899-12-30
310,301083.SZ,1899-12-30
311,688553.SH,1899-12-30
312,002648.SZ,1899-12-30
313,301090.SZ,1899-12-30
314,688211.SH,1899-12-30
315,688553.SH,1899-12-30
316,301081.SZ,1899-12-30
317,301086.SZ,1899-12-30
318,301079.SZ,1899-12-30
319,605566.SH,1899-12-30
320,301087.SZ,1899-12-30
321,688255.SH,1899-12-30
322,600662.SH,1899-12-30
323,688737.SH,1899-12-30
324,600723.SH,2021-10-22
325,301080.SZ,1899-12-30
326,301085.SZ,1899-12-30
327,001219.SZ,1899-12-30
328,301083.SZ,1899-12-30
329,605555.SH,1899-12-30
330,688285.SH,1899-12-30
331,301086.SZ,1899-12-30
332,301081.SZ,1899-12-30
333,301078.SZ,1899-12-30
334,001216.SZ,1899-12-30
335,688722.SH,1899-12-30
336,301079.SZ,1899-12-30
337,300671.SZ,1899-12-30
338,688272.SH,1899-12-30
339,301080.SZ,1899-12-30
340,301085.SZ,1899-12-30
341,002761.SZ,1899-12-30
342,001218.SZ,1899-12-30
343,300650.SZ,1899-12-30
344,688772.SH,1899-12-30
345,600234.SH,1899-12-30
346,301076.SZ,1899-12-30
347,301078.SZ,1899-12-30
348,301073.SZ,1899-12-30
349,301077.SZ,1899-12-30
350,605567.SH,1899-12-30
351,600234.SH,1899-12-30
352,301072.SZ,1899-12-30
353,301075.SZ,1899-12-30
354,300020.SZ,1899-12-30
355,300089.SZ,1899-12-30
356,301076.SZ,1899-12-30
357,603859.SH,1899-12-30
358,301068.SZ,1899-12-30
359,300089.SZ,1899-12-30
360,301069.SZ,1899-12-30
361,301077.SZ,1899-12-30
362,301071.SZ,1899-12-30
363,301073.SZ,1899-12-30
364,301063.SZ,1899-12-30
365,301072.SZ,1899-12-30
366,301075.SZ,1899-12-30
367,301070.SZ,1899-12-30
368,001217.SZ,1899-12-30
369,601868.SH,1899-12-30
370,301066.SZ,1899-12-30
371,301068.SZ,1899-12-30
372,301067.SZ,1899-12-30
373,603859.SH,1899-12-30
374,301069.SZ,1899-12-30
375,301063.SZ,1899-12-30
376,002729.SZ,1899-12-30
377,002259.SZ,1899-12-30
378,301071.SZ,1899-12-30
379,300854.SZ,1899-12-30
380,301070.SZ,1899-12-30
381,000663.SZ,1899-12-30
382,301062.SZ,1899-12-30
383,301066.SZ,1899-12-30
384,301067.SZ,1899-12-30
385,000920.SZ,1899-12-30
386,301065.SZ,1899-12-30
387,688697.SH,1899-12-30
388,605598.SH,1899-12-30
389,301059.SZ,1899-12-30
390,301060.SZ,1899-12-30
391,301061.SZ,1899-12-30
392,300854.SZ,1899-12-30
393,605033.SH,1899-12-30
394,600662.SH,1899-12-30
395,688701.SH,1899-12-30
396,600955.SH,1899-12-30
397,301058.SZ,1899-12-30
398,600281.SH,1899-12-30
399,002341.SZ,1899-12-30
400,301057.SZ,1899-12-30
401,301062.SZ,1899-12-30
402,688707.SH,1899-12-30
403,301065.SZ,1899-12-30
404,600048.SH,1899-12-30
405,301060.SZ,1899-12-30
406,600068.SH,2021-09-13
407,301059.SZ,1899-12-30
408,688622.SH,1899-12-30
409,301061.SZ,1899-12-30
410,301056.SZ,1899-12-30
411,688103.SH,1899-12-30
412,301055.SZ,1899-12-30
413,688091.SH,1899-12-30
414,600281.SH,1899-12-30
415,301058.SZ,1899-12-30
416,301057.SZ,1899-12-30
417,688091.SH,1899-12-30
418,605599.SH,1899-12-30
419,600640.SH,1899-12-30
420,001213.SZ,1899-12-30
421,688767.SH,1899-12-30
422,002668.SZ,1899-12-30
423,301056.SZ,1899-12-30
424,600048.SH,1899-12-30
425,688187.SH,1899-12-30
426,301053.SZ,1899-12-30
427,301055.SZ,1899-12-30
428,688121.SH,1899-12-30
429,600640.SH,1899-12-30
430,001215.SZ,1899-12-30
431,600281.SH,1899-12-30
432,301052.SZ,1899-12-30
433,301051.SZ,1899-12-30
434,600281.SH,1899-12-30
435,301053.SZ,1899-12-30
436,688711.SH,1899-12-30
437,600817.SH,1899-12-30
438,688776.SH,1899-12-30
439,301049.SZ,1899-12-30
440,300362.SZ,2021-08-30
441,301050.SZ,1899-12-30
442,301052.SZ,1899-12-30
443,301051.SZ,1899-12-30
444,002113.SZ,1899-12-30
445,600817.SH,1899-12-30
446,688786.SH,1899-12-30
447,301050.SZ,1899-12-30
448,300256.SZ,1899-12-30
449,301048.SZ,1899-12-30
450,301049.SZ,1899-12-30
451,605577.SH,1899-12-30
452,000669.SZ,1899-12-30
453,688766.SH,1899-12-30
454,000669.SZ,1899-12-30
455,001212.SZ,1899-12-30
456,300256.SZ,1899-12-30
457,301046.SZ,1899-12-30
458,002485.SZ,1899-12-30
459,601728.SH,1899-12-30
460,301047.SZ,1899-12-30
461,601825.SH,1899-12-30
462,301045.SZ,1899-12-30
463,605580.SH,1899-12-30
464,300459.SZ,1899-12-30
465,300844.SZ,1899-12-30
466,688728.SH,1899-12-30
467,301048.SZ,1899-12-30
468,300814.SZ,1899-12-30
469,300994.SZ,1899-12-30
470,688733.SH,1899-12-30
471,301046.SZ,1899-12-30
472,301043.SZ,1899-12-30
473,600260.SH,1899-12-30
474,301041.SZ,1899-12-30
475,688798.SH,1899-12-30
476,605069.SH,1899-12-30
477,600260.SH,1899-12-30
478,301047.SZ,1899-12-30
479,300844.SZ,1899-12-30
480,688787.SH,1899-12-30
481,301045.SZ,1899-12-30
482,300814.SZ,1899-12-30
483,605588.SH,1899-12-30
484,300994.SZ,1899-12-30
485,688779.SH,1899-12-30
486,301043.SZ,1899-12-30
487,300964.SZ,1899-12-30
488,301041.SZ,1899-12-30
489,301042.SZ,1899-12-30
490,605589.SH,1899-12-30
491,300774.SZ,1899-12-30
492,301038.SZ,1899-12-30
493,603779.SH,1899-12-30
494,600767.SH,1899-12-30
495,000792.SZ,1899-12-30
496,301040.SZ,1899-12-30
497,300655.SZ,1899-12-30
498,688148.SH,1899-12-30
499,301042.SZ,1899-12-30
500,688778.SH,1899-12-30
501,001211.SZ,1899-12-30
502,300964.SZ,1899-12-30
503,301037.SZ,1899-12-30
504,688385.SH,1899-12-30
505,301038.SZ,1899-12-30
506,300774.SZ,1899-12-30
507,301036.SZ,1899-12-30
508,002256.SZ,1899-12-30
509,301024.SZ,1899-12-30
510,301040.SZ,1899-12-30
511,301035.SZ,1899-12-30
512,605507.SH,1899-12-30
513,002627.SZ,1899-12-30
514,688670.SH,1899-12-30
515,301033.SZ,1899-12-30
516,301037.SZ,1899-12-30
517,688509.SH,1899-12-30
518,688511.SH,1899-12-30
519,301036.SZ,1899-12-30
520,688071.SH,1899-12-30
521,001210.SZ,1899-12-30
522,301029.SZ,1899-12-30
523,002650.SZ,1899-12-30
524,301024.SZ,1899-12-30
525,688718.SH,1899-12-30
526,301032.SZ,1899-12-30
527,301035.SZ,1899-12-30
528,301030.SZ,1899-12-30
529,688296.SH,1899-12-30
530,688768.SH,1899-12-30
531,605167.SH,1899-12-30
532,301033.SZ,1899-12-30
533,301028.SZ,1899-12-30
534,001209.SZ,1899-12-30
535,301029.SZ,1899-12-30
536,601921.SH,1899-12-30
537,000760.SZ,2021-07-23
538,002359.SZ,2021-07-23
539,301025.SZ,1899-12-30
540,688303.SH,1899-12-30
541,688800.SH,1899-12-30
542,600593.SH,1899-12-30
543,301030.SZ,1899-12-30
544,301032.SZ,1899-12-30
545,301026.SZ,1899-12-30
546,603555.SH,1899-12-30
547,600634.SH,2021-07-21
