wind_code,,trading_date,wind_code,open_price,high_price,low_price,close_price,volume,vwap,turn,free_turn,is_st,trade_status,susp_days,susp_reason,max_up_or_down,close_adj,return1,return5,return_bn
000975.SZ,0,2011-02-01,000975.SZ,6.6,6.71,6.56,6.71,2939720.0,6.643142578204727,0.7608396308881665,0.7608396308881665,0.0,交易,,,0.0,30.237944000000002,0.010542168674698926,0.03129657228017879,-0.5448509316973567
000975.SZ,1,2011-02-09,000975.SZ,6.71,6.88,6.63,6.77,5615257.0,6.757575209825659,1.4533050981801643,1.4533050981801643,0.0,交易,,,0.0,30.508328,0.008941877794336639,0.03249630723781394,-0.9599692569192033
000975.SZ,2,2011-02-10,000975.SZ,6.78,6.99,6.71,6.95,7363233.0,6.8651840027335815,1.9057051276528263,1.9057051276528263,0.0,交易,,,0.0,31.319480000000002,0.026587887740029625,0.023021582733813162,-0.654282185605127
000975.SZ,3,2011-02-11,000975.SZ,6.97,7.1,6.87,6.9,6630652.0,6.985095462708645,1.7161031731688334,1.7161031731688334,0.0,交易,,,0.0,31.094160000000002,-0.007194244604316502,0.0304347826086957,-0.03417963199987401
000975.SZ,4,2011-02-14,000975.SZ,6.9,6.96,6.82,6.89,6885384.0,6.886158898327238,1.7820312890626615,1.7820312890626615,0.0,交易,,,0.0,31.049096,-0.0014492753623189802,0.052249637155297624,0.44223502998717873
000975.SZ,5,2011-02-15,000975.SZ,6.95,7.05,6.86,6.92,5798035.0,6.963896768474148,1.5006105374922345,1.5006105374922345,0.0,交易,,,0.0,31.184288000000002,0.004354136429608246,0.011560693641618602,0.1675356270307359
000975.SZ,6,2011-02-16,000975.SZ,6.87,7.05,6.78,6.99,8200853.999999999,6.919153554007912,2.1224928667790617,2.1224928667790617,0.0,交易,,,0.0,31.499736000000002,0.01011560693641611,0.01573676680972813,0.3359301671921798
000975.SZ,7,2011-02-17,000975.SZ,6.98,7.15,6.93,7.11,8319460.000000001,7.046556483233286,2.153189717248196,2.153189717248196,0.0,交易,,,0.0,32.040504000000006,0.017167381974249052,0.00421940928270037,0.06951854441611909
000975.SZ,8,2011-02-18,000975.SZ,7.13,7.29,7.09,7.11,8984759.0,7.198281612227997,2.325378172471913,2.325378172471913,0.0,交易,,,0.0,32.040504000000006,0.0,-0.0182841068917019,-0.6524767502848506
000975.SZ,9,2011-02-21,000975.SZ,7.08,7.33,6.98,7.25,8554807.0,7.191380799122645,2.2141007307496983,2.2141007307496983,0.0,交易,,,0.0,32.6714,0.019690576652601655,-0.004137931034482678,-0.19060330492530148
000975.SZ,10,2011-02-22,000975.SZ,7.25,7.32,7.0,7.0,6463708.0,7.101899869239143,1.6728957890169436,1.6728957890169434,0.0,交易,,,0.0,31.544800000000002,-0.0344827586206895,0.02857142857142847,-0.17673749400643496
000975.SZ,11,2011-02-23,000975.SZ,6.99,7.2,6.73,7.1,8123414.999999999,7.023787458845818,2.1024505973873,2.1024505973873007,0.0,交易,,,0.0,31.99544,0.014285714285714235,0.005633802816901623,-0.3178170091486252
000975.SZ,12,2011-02-24,000975.SZ,7.1,7.24,7.03,7.14,4399249.0,7.1124886997758034,1.1385856426275751,1.1385856426275751,0.0,交易,,,0.0,32.175696,0.005633802816901623,-0.012605042016806678,-0.24632013172425607
000975.SZ,13,2011-02-25,000975.SZ,7.1,7.1,6.98,6.98,4979923.0,7.021037032098688,1.2888719936495625,1.2888719936495625,0.0,交易,,,0.0,31.454672000000002,-0.022408963585434205,0.025787965616045794,0.3524880199465045
